famRank,family,famFreq,word,PoS,freq,ratio,categ,domain
19,support,75683,unsupported,j,150,1.71,y,
20,individual,72071,individual,n,39359,2.32,y,
20,individual,72071,individual,j,28495,2.19,y,
20,individual,72071,individually,r,2285,2.03,y,
20,individual,72071,individualism,n,1077,2.50,y,
20,individual,72071,individualized,j,901,2.77,r,Edu
20,individual,72071,individuality,n,793,1.91,r,Hum
20,individual,72071,individualistic,j,623,2.74,y,
20,individual,72071,individualize,v,309,2.59,r,Edu
20,individual,72071,individualist,n,232,2.23,y,
20,individual,72071,individualist,j,20,2.00,r,Soc
21,inform,71870,information,n,61931,1.58,y,
21,inform,71870,inform,v,7547,1.54,y,
21,inform,71870,informed,j,1712,2.22,y,
21,inform,71870,informant,n,1707,1.95,r,Soc
21,inform,71870,informational,j,591,2.13,y,
21,inform,71870,info,n,480,0.58,r,Med
21,inform,71870,misinformation,n,238,1.04,r,Rel
21,inform,71870,uninformed,j,210,1.45,x,
21,inform,71870,informer,n,141,0.92,r,His+Law
21,inform,71870,informing,n,89,2.38,y,
21,inform,71870,misinform,v,69,0.84,x,
21,inform,71870,misinformed,j,17,1.21,x,
22,important,70250,important,j,67258,1.51,y,
22,important,70250,importantly,r,2515,1.58,y,
22,important,70250,unimportant,j,477,1.66,y,
23,include,70098,include,v,70098,1.69,y,
23,include,70098,including,i,41265,1.27,x,
23,include,70098,included,j,296,2.36,x,
24,form,67699,form,n,45275,1.90,y,
24,form,67699,form,v,22341,1.63,y,
24,form,67699,formless,j,67,1.06,r,Hum+Rel
24,form,67699,unformed,j,49,0.97,r,Hum
24,form,67699,preformed,j,44,1.77,r,Med
24,form,67699,formed,j,44,2.14,y,
24,form,67699,forming,n,39,1.95,y,
24,form,67699,preform,v,31,2.09,r,Sci
24,form,67699,formlessness,n,16,1.40,r,Hum+Rel
25,require,66817,require,v,49554,1.80,y,
25,require,66817,requirement,n,13576,2.18,y,
25,require,66817,required,j,3687,2.01,y,
26,control,65736,control,n,45690,1.64,y,
26,control,65736,control,v,19621,1.53,y,
26,control,65736,controller,n,1780,1.57,r,Sci
26,control,65736,controlled,j,1392,1.75,r,Med
26,control,65736,uncontrolled,j,425,1.64,y,
26,control,65736,controlling,j,353,1.45,x,
26,control,65736,uncontrollable,j,337,1.29,x,
26,control,65736,controllable,j,329,2.38,x,
26,control,65736,uncontrollably,r,64,0.37,x,
27,product,65540,product,n,33132,1.53,y,
27,product,65540,production,n,22378,1.73,y,
27,product,65540,productivity,n,4145,2.06,y,
27,product,65540,productive,j,3785,1.77,y,
27,product,65540,by-product,n,982,1.79,y,
27,product,65540,counterproductive,j,624,1.73,y,
27,product,65540,unproductive,j,282,1.84,y,
27,product,65540,productively,r,212,2.14,y,
28,change,64593,change,n,59284,1.69,y,
28,change,64593,change,v,33392,0.88,x,
28,change,64593,changing,j,4871,1.75,y,
28,change,64593,unchanged,j,818,1.43,x,
28,change,64593,changed,j,487,1.31,x,
28,change,64593,unchanging,j,304,2.07,y,
28,change,64593,changeable,j,134,1.58,y,
28,change,64593,changer,n,119,0.95,x,
28,change,64593,changing,n,111,0.38,x,
28,change,64593,unchangeable,j,78,1.92,r,Rel
29,model,63948,model,n,57310,2.20,y,
29,model,63948,model,v,3902,2.07,y,
29,model,63948,modeling,n,2616,2.54,y,
29,model,63948,modeler,n,143,2.36,r,Sci
29,model,63948,modelling,n,120,2.82,y,
29,model,63948,modeled,j,116,2.65,x,
29,model,63948,model,j,15,0.95,x,
30,significant,63901,significant,j,44415,2.44,y,
30,significant,63901,significantly,r,18615,2.74,y,
30,significant,63901,insignificant,j,844,1.54,y,
30,significant,63901,insignificantly,r,27,2.63,y,
31,data,63584,data,n,63480,2.62,y,
31,data,63584,datum,n,104,2.46,y,
32,nature,62333,nature,n,34413,1.91,y,
32,nature,62333,natural,j,27263,1.60,y,
32,nature,62333,naturally,r,4259,1.23,x,
32,nature,62333,naturalist,n,657,1.60,y,
32,nature,62333,naturalistic,j,570,2.46,r,Hum
32,nature,62333,unnatural,j,442,0.93,x,
32,nature,62333,naturalism,n,354,2.68,r,Hum+Rel
32,nature,62333,naturalness,n,112,1.92,r,Hum
32,nature,62333,natural,r,84,0.99,x,
32,nature,62333,unnaturally,r,60,0.50,x,
32,nature,62333,natural,n,34,0.86,r,Med
32,nature,62333,naturalistically,r,19,2.46,r,Hum
33,effect,61659,effect,n,60078,2.04,y,
33,effect,61659,effect,v,1581,1.94,y,
34,present,60799,present,v,30357,1.97,y,
34,present,60799,present,j,21652,2.33,y,
34,present,60799,presentation,n,7080,2.01,y,
34,present,60799,present,n,6809,1.43,x,
34,present,60799,present,r,1338,2.11,y,
34,present,60799,presenter,n,372,1.73,y,
34,present,60799,presented,j,160,2.40,r,Rel
34,present,60799,presentational,j,39,2.63,r,Hum
34,present,60799,presentable,j,21,0.26,x,
35,value,60793,value,n,49900,1.97,y,
35,value,60793,valuable,j,6049,1.56,y,
35,value,60793,value,v,3661,1.69,y,
35,value,60793,valuation,n,817,1.98,r,Fin
35,value,60793,invaluable,j,726,1.63,y,
35,value,60793,valued,j,420,2.02,y,
35,value,60793,valuables,n,122,1.01,r,Soc
35,value,60793,revaluation,n,112,2.63,x,
35,value,60793,valueless,j,37,1.54,y,
35,value,60793,revalue,v,35,1.63,r,His
35,value,60793,valuing,n,22,3.08,r,Rel
36,analyze,60112,analysis,n,48500,2.85,y,
36,analyze,60112,analyze,v,11523,2.39,y,
36,analyze,60112,analyse,v,1158,3.26,r,Med
36,analyze,60112,analyzed,j,89,2.47,y,
37,economy,60070,economic,j,52368,1.89,y,
37,economy,60070,economy,n,23059,1.20,x,
37,economy,60070,economics,n,4885,1.61,y,
37,economy,60070,economist,n,3346,0.98,x,
37,economy,60070,economically,r,2817,1.77,y,
37,economy,60070,economical,j,538,1.46,x,
37,economy,60070,economize,v,74,1.34,x,
37,economy,60070,uneconomic,j,43,2.32,r,Law
37,economy,60070,uneconomical,j,30,1.88,x,
38,general,59567,general,j,31754,1.66,y,
38,general,59567,generally,r,18534,1.83,y,
38,general,59567,general,r,7739,1.90,y,
38,general,59567,general,n,6700,1.04,r,His
38,general,59567,generalization,n,1837,2.86,r,Edu
38,general,59567,generalize,v,1268,2.85,r,Edu
38,general,59567,generalized,j,1150,2.77,y,
38,general,59567,generality,n,390,2.43,y,
38,general,59567,generalist,n,266,2.23,r,Hum
38,general,59567,generalised,j,43,3.42,r,Med
38,general,59567,generalizing,j,17,2.48,r,Hum
39,table,59158,table,n,59158,1.54,y,
39,table,59158,table,v,92,1.31,r,Law
39,table,59158,tablecloth,n,79,0.21,x,
40,policy,58987,policy,n,58987,1.77,y,
40,policy,58987,policy-making,n,1028,2.72,x,
41,university,57835,university,n,57835,1.62,y,
